quote,author,tags
"“the trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","Terry Pratchett,",['general']
“if i had a flower for every time i thought of you...i could walk through my garden forever.”,Alfred Tennyson,['general']
"“one must always be careful of books,"" said tessa, ""and what is inside them, for words have the power to change us.”","Cassandra Clare,",['general']
“not all those who wander are lost.”,"J.R.R. Tolkien,",['general']
“time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,",['general']
“reality continues to ruin my life.”,"Bill Watterson,",['general']
“things change. and friends leave. life doesn't stop for anybody.”,"Stephen Chbosky,",['general']
"“there is no pretending,"" jace said with absolute clarity. ""i love you, and i will love you until i die, and if there is life after that, i'll love you then.”","Cassandra Clare,",['general']
“who are you to judge the life i live?i know i'm not perfect-and i don't live to be-but before you start pointing fingers...make sure you hands are clean!”,Bob Marley,['general']
“the real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,['general']
"“if there's a book that you want to read, but it hasn't been written yet, then you must write it.”",Toni Morrison,['general']
"“piglet sidled up to pooh from behind. ""pooh!"" he whispered.""yes, piglet?""""nothing,"" said piglet, taking pooh's paw. ""i just wanted to be sure of you.”","A.A. Milne,",['general']
"“to love at all is to be vulnerable. love anything and your heart will be wrung and possibly broken. if you want to make sure of keeping it intact you must give it to no one, not even an animal. wrap it carefully round with hobbies and little luxuries; avoid all entanglements. lock it up safe in the casket or coffin of your selfishness. but in that casket, safe, dark, motionless, airless, it will change. it will not be broken; it will become unbreakable, impenetrable, irredeemable. to love is to be vulnerable.”","C.S. Lewis,",['general']
“the only way out of the labyrinth of suffering is to forgive.”,"John Green,",['general']
"“he's like a drug for you, bella.”","Stephenie Meyer,",['general']
"“do not pity the dead, harry. pity the living, and, above all those who live without love.”","J.K. Rowling,",['general']
“the reason i talk to myself is because iâ€™m the only one whose answers i accept.”,George Carlin,['general']
"“a wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,['general']
“go to heaven for the climate and hell for the company.”,Benjamin Franklin Wade,['general']
"“i wish it need not have happened in my time,"" said frodo.""so do i,"" said gandalf, ""and so do all who live to see such times. but that is not for them to decide. all we have to decide is what to do with the time that is given us.”","J.R.R. Tolkien,",['general']
"“when someone loves you, the way they talk about you is different. you feel safe and comfortable.”","Jess C. Scott,",['general']
"“dumbledore watched her fly away, and as her silvery glow faded he turned back to snape, and his eyes were full of tears.""after all this time?""""always,"" said snape.”","J.K. Rowling,",['general']
“there is nothing to writing. all you do is sit down at a typewriter and bleed.”,Ernest Hemingway,['general']
"“i declare after all there is no enjoyment like reading! how much sooner one tires of any thing than of a book! -- when i have a house of my own, i shall be miserable if i have not an excellent library.”","Jane Austen,",['general']
"“and, when you want something, all the universe conspires in helping you to achieve it.”","Paulo Coelho,",['general']
"“i am good, but not an angel. i do sin, but i am not the devil. i am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,['general']
